candidate_id,source_id,goal,feasibility_kind,pass,policy_loaded,normalized_state_sha256,normalization_action_sha256,proposal_execution_mode,proposal_attempt_count,proposal_success_count,factorized_placement_action_count,factorized_result_file_sha256
stagea__drawer-closed__possession-grasped__locus-cabinet-side__support-demonstration-near__layout-a,v32_closed,cabinet,successful_proposal_ledger_v1,True,False,140253d432b553e5f9ba15fc4be2dff5452fe162ea107d6ea10ece87e92ba011,a1b61b511596af3acfce68ba6c01c414b9962cb2314855f244bdd4a73b03f9e2,full_trajectory_replay,46,16,,
stagea__drawer-closed__possession-grasped__locus-cabinet-side__support-demonstration-near__layout-a,v32_closed,drawer,successful_proposal_ledger_v1,True,False,140253d432b553e5f9ba15fc4be2dff5452fe162ea107d6ea10ece87e92ba011,a1b61b511596af3acfce68ba6c01c414b9962cb2314855f244bdd4a73b03f9e2,full_trajectory_replay,36,11,,
stagea__drawer-closed__possession-grasped__locus-cabinet-side__support-demonstration-near__layout-b,v32_closed,cabinet,successful_proposal_ledger_v1,True,False,d84e070703ee46590c6cd30615bd3414aea9793b12bd6bd18ad8500e97d40e15,a2e4a8a5031ce94ed938889f0469a59d04f260dd0a62c29265d0d109c5ef4b57,full_trajectory_replay,46,36,,
stagea__drawer-closed__possession-grasped__locus-cabinet-side__support-demonstration-near__layout-b,v32_closed,drawer,successful_proposal_ledger_v1,True,False,d84e070703ee46590c6cd30615bd3414aea9793b12bd6bd18ad8500e97d40e15,a2e4a8a5031ce94ed938889f0469a59d04f260dd0a62c29265d0d109c5ef4b57,full_trajectory_replay,36,27,,
stagea__drawer-closed__possession-grasped__locus-cabinet-side__support-transverse-low-support__layout-a,v32_closed,cabinet,successful_proposal_ledger_v1,True,False,d6a50bea413ce9186f7c005305febc4d23bd16dc2c75b990156c3a85a20f9df6,07790fa312f781f8a4b3933e3bc011f710ed9e6807dca868327f11d1d9d076b7,full_trajectory_replay,46,18,,
stagea__drawer-closed__possession-grasped__locus-cabinet-side__support-transverse-low-support__layout-a,v32_closed,drawer,successful_proposal_ledger_v1,True,False,d6a50bea413ce9186f7c005305febc4d23bd16dc2c75b990156c3a85a20f9df6,07790fa312f781f8a4b3933e3bc011f710ed9e6807dca868327f11d1d9d076b7,full_trajectory_replay,36,9,,
stagea__drawer-closed__possession-grasped__locus-cabinet-side__support-transverse-low-support__layout-b,v32_closed,cabinet,successful_proposal_ledger_v1,True,False,0a6d27a71f09160eecf20a5fa30fbfa04cf1c4de011e4f20dce059f0f95143c5,1dec49c1086bf29e9d67098433126c6b7fa3c6d0921b363f6fe76f87fa97aa24,full_trajectory_replay,46,36,,
stagea__drawer-closed__possession-grasped__locus-cabinet-side__support-transverse-low-support__layout-b,v32_closed,drawer,successful_proposal_ledger_v1,True,False,0a6d27a71f09160eecf20a5fa30fbfa04cf1c4de011e4f20dce059f0f95143c5,1dec49c1086bf29e9d67098433126c6b7fa3c6d0921b363f6fe76f87fa97aa24,full_trajectory_replay,36,27,,
stagea__drawer-closed__possession-grasped__locus-drawer-side__support-demonstration-near__layout-a,v32_closed,cabinet,successful_proposal_ledger_v1,True,False,486e2ca4da25ae62929688ac83a75ca7e1672b46cca10281004473640e150969,23dc2c666d7a3dbdaee01ba242ca0f38caa51fb366a1f07109dff33c2fff9bc4,full_trajectory_replay,46,18,,
stagea__drawer-closed__possession-grasped__locus-drawer-side__support-demonstration-near__layout-a,v32_closed,drawer,successful_proposal_ledger_v1,True,False,486e2ca4da25ae62929688ac83a75ca7e1672b46cca10281004473640e150969,23dc2c666d7a3dbdaee01ba242ca0f38caa51fb366a1f07109dff33c2fff9bc4,full_trajectory_replay,36,9,,
